sentence,original_label,original_book,book_Anna_Karenina,book_Frankenstein,book_The_Adventures_of_Alice_in_Wonderland,book_Wuthering_Heights
He merely saw the outward symptoms.,1,Anna Karenina,1,0,0,0
"He saw that she was behaving unbecomingly, and considered it his duty to tell her so.",1,Anna Karenina,1,0,0,1
"But it was very difficult for him not to say more, to tell her nothing but that.",1,Anna Karenina,1,0,0,0
"He opened his mouth to tell her she had behaved unbecomingly, but he could not help saying something utterly different.",1,Anna Karenina,1,0,0,0
"What an inclination we all have, though, for these cruel spectacles, he said.",1,Anna Karenina,1,0,0,0
I observe.... Eh?,1,Anna Karenina,1,0,0,1
"I don t understand, said Anna contemptuously.",1,Anna Karenina,1,0,0,0
"He was offended, and at once began to say what he had meant to say.",1,Anna Karenina,1,0,0,1
"I am obliged to tell you, he began.",1,Anna Karenina,1,0,0,0
"So now we are to have it out, she thought, and she felt frightened.",1,Anna Karenina,1,0,0,0
"I am obliged to tell you that your behavior has been unbecoming today, he said to her in French.",1,Anna Karenina,1,0,0,0
In what way has my behavior been unbecoming?,1,Anna Karenina,1,0,0,0
"she said aloud, turning her head swiftly and looking him straight in the face, not with the bright expression that seemed covering something, but with a look of determination, under which she concealed with difficulty the dismay she was feeling.",1,Anna Karenina,1,0,0,1
"Mind, he said, pointing to the open window opposite the coachman.",1,Anna Karenina,1,0,0,0
He got up and pulled up the window.,1,Anna Karenina,1,0,0,0
What did you consider unbecoming?,1,Anna Karenina,1,0,0,0
The despair you were unable to conceal at the accident to one of the riders.,1,Anna Karenina,1,0,0,0
"He waited for her to answer, but she was silent, looking straight before her.",1,Anna Karenina,1,0,0,1
I have already begged you so to conduct yourself in society that even malicious tongues can find nothing to say against you.,1,Anna Karenina,1,0,0,0
"There was a time when I spoke of your inward attitude, but I am not speaking of that now.",1,Anna Karenina,1,0,0,0
Now I speak only of your external attitude.,1,Anna Karenina,1,0,0,0
"You have behaved improperly, and I would wish it not to occur again.",1,Anna Karenina,1,0,0,0
"She did not hear half of what he was saying; she felt panic-stricken before him, and was thinking whether it was true that Vronsky was not killed.",1,Anna Karenina,1,0,0,0
"Was it of him they were speaking when they said the rider was unhurt, but the horse had broken its back?",1,Anna Karenina,1,0,0,0
"She merely smiled with a pretense of irony when he finished, and made no reply, because she had not heard what he said.",1,Anna Karenina,1,1,0,0
"Alexey Alexandrovitch had begun to speak boldly, but as he realized plainly what he was speaking of, the dismay she was feeling infected him too.",1,Anna Karenina,1,0,0,0
"He saw the smile, and a strange misapprehension came over him.",1,Anna Karenina,1,1,0,1
She is smiling at my suspicions.,1,Anna Karenina,1,0,0,0
"Yes, she will tell me directly what she told me before; that there is no foundation for my suspicions, that it s absurd.",1,Anna Karenina,1,0,0,0
"At that moment, when the revelation of everything was hanging over him, there was nothing he expected so much as that she would answer mockingly as before that his suspicions were absurd and utterly groundless.",1,Anna Karenina,1,0,0,0
So terrible to him was what he knew that now he was ready to believe anything.,1,Anna Karenina,1,0,0,0
"But the expression of her face, scared and gloomy, did not now promise even deception.",1,Anna Karenina,1,0,0,1
"Possibly I was mistaken, said he.",1,Anna Karenina,1,1,0,1
"If so, I beg your pardon.",1,Anna Karenina,1,0,1,0
"No, you were not mistaken, she said deliberately, looking desperately into his cold face.",1,Anna Karenina,1,0,0,0
You were not mistaken.,1,Anna Karenina,1,0,0,0
"I was, and I could not help being in despair.",1,Anna Karenina,1,1,0,1
"I hear you, but I am thinking of him.",1,Anna Karenina,1,0,0,0
"I love him, I am his mistress; I can t bear you; I m afraid of you, and I hate you.... You can do what you like to me.",1,Anna Karenina,1,0,0,1
"And dropping back into the corner of the carriage, she broke into sobs, hiding her face in her hands.",1,Anna Karenina,1,0,0,0
"Alexey Alexandrovitch did not stir, and kept looking straight before him.",1,Anna Karenina,1,0,0,0
"But his whole face suddenly bore the solemn rigidity of the dead, and his expression did not change during the whole time of the drive home.",1,Anna Karenina,1,0,0,0
"On reaching the house he turned his head to her, still with the same expression.",1,Anna Karenina,1,0,0,0
Very well!,1,Anna Karenina,1,1,1,1
But I expect a strict observance of the external forms of propriety till such time his voice shook as I may take measures to secure my honor and communicate them to you.,1,Anna Karenina,1,0,0,0
He got out first and helped her to get out.,1,Anna Karenina,1,0,0,1
"Before the servants he pressed her hand, took his seat in the carriage, and drove back to Petersburg.",1,Anna Karenina,1,0,0,0
Immediately afterwards a footman came from Princess Betsy and brought Anna a note.,1,Anna Karenina,1,0,0,0
"I sent to Alexey to find out how he is, and he writes me he is quite well and unhurt, but in despair.",1,Anna Karenina,1,0,0,0
"So _he_ will be here, she thought.",1,Anna Karenina,1,0,0,0
What a good thing I told him all!,1,Anna Karenina,1,0,0,0
She glanced at her watch.,1,Anna Karenina,1,0,0,0
"She had still three hours to wait, and the memories of their last meeting set her blood in flame.",1,Anna Karenina,1,0,0,0
"My God, how light it is!",1,Anna Karenina,1,0,0,0
"It s dreadful, but I do love to see his face, and I do love this fantastic light.... My husband!",1,Anna Karenina,1,0,0,0
"yes.... Well, thank God!",1,Anna Karenina,1,0,0,1
everything s over with him.,1,Anna Karenina,1,0,0,1
"Chapter 30 In the little German watering-place to which the Shtcherbatskys had betaken themselves, as in all places indeed where people are gathered together, the usual process, as it were, of the crystallization of society went on, assigning to each member of that society a definite and unalterable place.",1,Anna Karenina,1,0,0,0
"Just as the particle of water in frost, definitely and unalterably, takes the special form of the crystal of snow, so each new person that arrived at the springs was at once placed in his special place.",1,Anna Karenina,1,0,0,0
"_F rst_ Shtcherbatsky, _sammt Gemahlin und Tochter_, by the apartments they took, and from their name and from the friends they made, were immediately crystallized into a definite place marked out for them.",1,Anna Karenina,1,0,0,0
"There was visiting the watering-place that year a real German F rstin, in consequence of which the crystallizing process went on more vigorously than ever.",1,Anna Karenina,1,0,0,0
"Princess Shtcherbatskaya wished, above everything, to present her daughter to this German princess, and the day after their arrival she duly performed this rite.",1,Anna Karenina,1,0,0,0
"Kitty made a low and graceful curtsey in the _very simple_, that is to say, very elegant frock that had been ordered her from Paris.",1,Anna Karenina,1,0,0,0
"The German princess said, I hope the roses will soon come back to this pretty little face, and for the Shtcherbatskys certain definite lines of existence were at once laid down from which there was no departing.",1,Anna Karenina,1,0,0,0
"The Shtcherbatskys made the acquaintance too of the family of an English Lady Somebody, and of a German countess and her son, wounded in the last war, and of a learned Swede, and of M. Canut and his sister.",1,Anna Karenina,1,0,0,0
"But yet inevitably the Shtcherbatskys were thrown most into the society of a Moscow lady, Marya Yevgenyevna Rtishtcheva and her daughter, whom Kitty disliked, because she had fallen ill, like herself, over a love affair, and a Moscow colonel, whom Kitty had known from childhood, and always seen in uniform and epaulets, and who now, with his little eyes and his open neck and flowered cravat, was uncommonly ridiculous and tedious, because there was no getting rid of him.",1,Anna Karenina,1,0,0,0
"When all this was so firmly established, Kitty began to be very much bored, especially as the prince went away to Carlsbad and she was left alone with her mother.",1,Anna Karenina,1,0,0,0
"She took no interest in the people she knew, feeling that nothing fresh would come of them.",1,Anna Karenina,1,0,0,0
Her chief mental interest in the watering-place consisted in watching and making theories about the people she did not know.,1,Anna Karenina,1,0,0,0
"It was characteristic of Kitty that she always imagined everything in people in the most favorable light possible, especially so in those she did not know.",1,Anna Karenina,1,0,0,0
"And now as she made surmises as to who people were, what were their relations to one another, and what they were like, Kitty endowed them with the most marvelous and noble characters, and found confirmation of her idea in her observations.",1,Anna Karenina,1,0,0,0
"Of these people the one that attracted her most was a Russian girl who had come to the watering-place with an invalid Russian lady, Madame Stahl, as everyone called her.",1,Anna Karenina,1,0,0,0
"Madame Stahl belonged to the highest society, but she was so ill that she could not walk, and only on exceptionally fine days made her appearance at the springs in an invalid carriage.",1,Anna Karenina,1,0,0,0
But it was not so much from ill-health as from pride so Princess Shtcherbatskaya interpreted it that Madame Stahl had not made the acquaintance of anyone among the Russians there.,1,Anna Karenina,1,0,0,0
"The Russian girl looked after Madame Stahl, and besides that, she was, as Kitty observed, on friendly terms with all the invalids who were seriously ill, and there were many of them at the springs, and looked after them in the most natural way.",1,Anna Karenina,1,0,0,0
"This Russian girl was not, as Kitty gathered, related to Madame Stahl, nor was she a paid attendant.",1,Anna Karenina,1,0,0,0
"Madame Stahl called her Varenka, and other people called her Mademoiselle Varenka.",1,Anna Karenina,1,0,0,0
"Apart from the interest Kitty took in this girl s relations with Madame Stahl and with other unknown persons, Kitty, as often happened, felt an inexplicable attraction to Mademoiselle Varenka, and was aware when their eyes met that she too liked her.",1,Anna Karenina,1,0,0,0
"Of Mademoiselle Varenka one would not say that she had passed her first youth, but she was, as it were, a creature without youth; she might have been taken for nineteen or for thirty.",1,Anna Karenina,1,0,0,0
"If her features were criticized separately, she was handsome rather than plain, in spite of the sickly hue of her face.",1,Anna Karenina,1,0,0,1
"She would have been a good figure, too, if it had not been for her extreme thinness and the size of her head, which was too large for her medium height.",1,Anna Karenina,1,0,0,0
But she was not likely to be attractive to men.,1,Anna Karenina,1,0,0,0
"She was like a fine flower, already past its bloom and without fragrance, though the petals were still unwithered.",1,Anna Karenina,1,0,0,0
"Moreover, she would have been unattractive to men also from the lack of just what Kitty had too much of of the suppressed fire of vitality, and the consciousness of her own attractiveness.",1,Anna Karenina,1,0,0,0
"She always seemed absorbed in work about which there could be no doubt, and so it seemed she could not take interest in anything outside it.",1,Anna Karenina,1,0,0,0
It was just this contrast with her own position that was for Kitty the great attraction of Mademoiselle Varenka.,1,Anna Karenina,1,0,0,0
"Kitty felt that in her, in her manner of life, she would find an example of what she was now so painfully seeking: interest in life, a dignity in life apart from the worldly relations of girls with men, which so revolted Kitty, and appeared to her now as a shameful hawking about of goods in search of a purchaser.",1,Anna Karenina,1,0,0,0
"The more attentively Kitty watched her unknown friend, the more convinced she was this girl was the perfect creature she fancied her, and the more eagerly she wished to make her acquaintance.",1,Anna Karenina,1,0,0,0
"The two girls used to meet several times a day, and every time they met, Kitty s eyes said: Who are you?",1,Anna Karenina,1,0,0,0
What are you?,1,Anna Karenina,1,0,1,1
Are you really the exquisite creature I imagine you to be?,1,Anna Karenina,1,0,0,0
"But for goodness sake don t suppose, her eyes added, that I would force my acquaintance on you, I simply admire you and like you.",1,Anna Karenina,1,0,0,1
"I like you too, and you re very, very sweet.",1,Anna Karenina,1,1,0,0
"And I should like you better still, if I had time, answered the eyes of the unknown girl.",1,Anna Karenina,1,0,0,0
"Kitty saw indeed, that she was always busy.",1,Anna Karenina,1,0,0,0
"Either she was taking the children of a Russian family home from the springs, or fetching a shawl for a sick lady, and wrapping her up in it, or trying to interest an irritable invalid, or selecting and buying cakes for tea for someone.",1,Anna Karenina,1,0,0,0
Soon after the arrival of the Shtcherbatskys there appeared in the morning crowd at the springs two persons who attracted universal and unfavorable attention.,1,Anna Karenina,1,0,0,0
"These were a tall man with a stooping figure, and huge hands, in an old coat too short for him, with black, simple, and yet terrible eyes, and a pockmarked, kind-looking woman, very badly and tastelessly dressed.",1,Anna Karenina,1,0,0,0
"Recognizing these persons as Russians, Kitty had already in her imagination begun constructing a delightful and touching romance about them.",1,Anna Karenina,1,0,0,0
"But the princess, having ascertained from the visitors list that this was Nikolay Levin and Marya Nikolaevna, explained to Kitty what a bad man this Levin was, and all her fancies about these two people vanished.",1,Anna Karenina,1,0,0,0
"Not so much from what her mother told her, as from the fact that it was Konstantin s brother, this pair suddenly seemed to Kitty intensely unpleasant.",1,Anna Karenina,1,0,0,0
"This Levin, with his continual twitching of his head, aroused in her now an irrepressible feeling of disgust.",1,Anna Karenina,1,0,0,0
"It seemed to her that his big, terrible eyes, which persistently pursued her, expressed a feeling of hatred and contempt, and she tried to avoid meeting him.",1,Anna Karenina,1,0,0,0
"Chapter 31 It was a wet day; it had been raining all the morning, and the invalids, with their parasols, had flocked into the arcades.",1,Anna Karenina,1,0,0,0
"Kitty was walking there with her mother and the Moscow colonel, smart and jaunty in his European coat, bought ready-made at Frankfort.",1,Anna Karenina,1,0,0,0
"They were walking on one side of the arcade, trying to avoid Levin, who was walking on the other side.",1,Anna Karenina,1,0,0,0
"Varenka, in her dark dress, in a black hat with a turn-down brim, was walking up and down the whole length of the arcade with a blind Frenchwoman, and, every time she met Kitty, they exchanged friendly glances.",1,Anna Karenina,1,0,0,0
"Mamma, couldn t I speak to her?",1,Anna Karenina,1,0,0,0
"said Kitty, watching her unknown friend, and noticing that she was going up to the spring, and that they might come there together.",1,Anna Karenina,1,0,0,0
"Oh, if you want to so much, I ll find out about her first and make her acquaintance myself, answered her mother.",1,Anna Karenina,1,0,0,0
What do you see in her out of the way?,1,Anna Karenina,1,0,0,0
"A companion, she must be.",1,Anna Karenina,1,0,0,0
"If you like, I ll make acquaintance with Madame Stahl; I used to know her _belle-s ur_, added the princess, lifting her head haughtily.",1,Anna Karenina,1,0,0,0
Kitty knew that the princess was offended that Madame Stahl had seemed to avoid making her acquaintance.,1,Anna Karenina,1,0,0,0
Kitty did not insist.,1,Anna Karenina,1,0,1,0
How wonderfully sweet she is!,1,Anna Karenina,1,0,0,1
"she said, gazing at Varenka just as she handed a glass to the Frenchwoman.",1,Anna Karenina,1,0,0,0
Look how natural and sweet it all is.,1,Anna Karenina,1,0,0,0
"It s so funny to see your _engouements_, said the princess.",1,Anna Karenina,1,0,0,0
"No, we d better go back, she added, noticing Levin coming towards them with his companion and a German doctor, to whom he was talking very noisily and angrily.",1,Anna Karenina,1,0,0,0
"They turned to go back, when suddenly they heard, not noisy talk, but shouting.",1,Anna Karenina,1,0,0,0
"Levin, stopping short, was shouting at the doctor, and the doctor, too, was excited.",1,Anna Karenina,1,0,0,0
A crowd gathered about them.,1,Anna Karenina,1,0,0,0
"The princess and Kitty beat a hasty retreat, while the colonel joined the crowd to find out what was the matter.",1,Anna Karenina,1,0,0,0
A few minutes later the colonel overtook them.,1,Anna Karenina,1,0,0,0
inquired the princess.,1,Anna Karenina,1,0,1,0
Scandalous and disgraceful!,1,Anna Karenina,1,0,0,0
answered the colonel.,1,Anna Karenina,1,0,0,0
The one thing to be dreaded is meeting Russians abroad.,1,Anna Karenina,1,0,0,0
"That tall gentleman was abusing the doctor, flinging all sorts of insults at him because he wasn t treating him quite as he liked, and he began waving his stick at him.",1,Anna Karenina,1,0,0,0
It s simply a scandal!,1,Anna Karenina,1,0,0,0
"Oh, how unpleasant!",1,Anna Karenina,1,0,0,1
said the princess.,1,Anna Karenina,1,0,1,0
"Well, and how did it end?",1,Anna Karenina,1,0,0,1
Luckily at that point that ... the one in the mushroom hat ... intervened.,1,Anna Karenina,1,0,0,0
"A Russian lady, I think she is, said the colonel.",1,Anna Karenina,1,0,0,0
Mademoiselle Varenka?,1,Anna Karenina,1,0,0,0
She came to the rescue before anyone; she took the man by the arm and led him away.,1,Anna Karenina,1,0,0,0
"There, mamma, said Kitty; you wonder that I m enthusiastic about her.",1,Anna Karenina,1,0,1,0
"The next day, as she watched her unknown friend, Kitty noticed that Mademoiselle Varenka was already on the same terms with Levin and his companion as with her other _prot g s_.",1,Anna Karenina,1,0,0,0
"She went up to them, entered into conversation with them, and served as interpreter for the woman, who could not speak any foreign language.",1,Anna Karenina,1,0,0,0
Kitty began to entreat her mother still more urgently to let her make friends with Varenka.,1,Anna Karenina,1,0,0,0
"And, disagreeable as it was to the princess to seem to take the first step in wishing to make the acquaintance of Madame Stahl, who thought fit to give herself airs, she made inquiries about Varenka, and, having ascertained particulars about her tending to prove that there could be no harm though little good in the acquaintance, she herself approached Varenka and made acquaintance with her.",1,Anna Karenina,1,0,0,0
"Choosing a time when her daughter had gone to the spring, while Varenka had stopped outside the baker s, the princess went up to her.",1,Anna Karenina,1,0,0,0
"Allow me to make your acquaintance, she said, with her dignified smile.",1,Anna Karenina,1,0,0,1
"My daughter has lost her heart to you, she said.",1,Anna Karenina,1,0,0,0
Possibly you do not know me.,1,Anna Karenina,1,0,0,1
"I am.... That feeling is more than reciprocal, princess, Varenka answered hurriedly.",1,Anna Karenina,1,0,0,0
What a good deed you did yesterday to our poor compatriot!,1,Anna Karenina,1,0,0,0
Varenka flushed a little.,1,Anna Karenina,1,0,0,0
I don t remember.,1,Anna Karenina,1,0,1,1
"I don t think I did anything, she said.",1,Anna Karenina,1,0,0,0
"Why, you saved that Levin from disagreeable consequences.",1,Anna Karenina,1,0,0,0
"Yes, _sa compagne_ called me, and I tried to pacify him, he s very ill, and was dissatisfied with the doctor.",1,Anna Karenina,1,0,0,0
I m used to looking after such invalids.,1,Anna Karenina,1,0,0,0
"Yes, I ve heard you live at Mentone with your aunt I think Madame Stahl: I used to know her _belle-s ur_.",1,Anna Karenina,1,0,0,0
"No, she s not my aunt.",1,Anna Karenina,1,0,0,0
"I call her mamma, but I am not related to her; I was brought up by her, answered Varenka, flushing a little again.",1,Anna Karenina,1,0,0,0
"This was so simply said, and so sweet was the truthful and candid expression of her face, that the princess saw why Kitty had taken such a fancy to Varenka.",1,Anna Karenina,1,0,0,0
"Well, and what s this Levin going to do?",1,Anna Karenina,1,0,0,0
asked the princess.,1,Anna Karenina,1,0,1,0
"He s going away, answered Varenka.",1,Anna Karenina,1,0,0,0
At that instant Kitty came up from the spring beaming with delight that her mother had become acquainted with her unknown friend.,1,Anna Karenina,1,0,0,0
"Well, see, Kitty, your intense desire to make friends with Mademoiselle.... Varenka, Varenka put in smiling, that s what everyone calls me.",1,Anna Karenina,1,0,0,0
"Kitty blushed with pleasure, and slowly, without speaking, pressed her new friend s hand, which did not respond to her pressure, but lay motionless in her hand.",1,Anna Karenina,1,0,0,0
"The hand did not respond to her pressure, but the face of Mademoiselle Varenka glowed with a soft, glad, though rather mournful smile, that showed large but handsome teeth.",1,Anna Karenina,1,0,0,0
"I have long wished for this too, she said.",1,Anna Karenina,1,0,0,0
But you are so busy.,1,Anna Karenina,1,0,0,0
"Oh, no, I m not at all busy, answered Varenka, but at that moment she had to leave her new friends because two little Russian girls, children of an invalid, ran up to her.",1,Anna Karenina,1,0,0,0
"Varenka, mamma s calling!",1,Anna Karenina,1,0,0,0
they cried.,1,Anna Karenina,1,1,1,1
And Varenka went after them.,1,Anna Karenina,1,0,0,0
"Chapter 32 The particulars which the princess had learned in regard to Varenka s past and her relations with Madame Stahl were as follows: Madame Stahl, of whom some people said that she had worried her husband out of his life, while others said it was he who had made her wretched by his immoral behavior, had always been a woman of weak health and enthusiastic temperament.",1,Anna Karenina,1,0,0,0
"When, after her separation from her husband, she gave birth to her only child, the child had died almost immediately, and the family of Madame Stahl, knowing her sensibility, and fearing the news would kill her, had substituted another child, a baby born the same night and in the same house in Petersburg, the daughter of the chief cook of the Imperial Household.",1,Anna Karenina,1,0,0,0
This was Varenka.,1,Anna Karenina,1,0,0,0
"Madame Stahl learned later on that Varenka was not her own child, but she went on bringing her up, especially as very soon afterwards Varenka had not a relation of her own living.",1,Anna Karenina,1,0,0,0
"Madame Stahl had now been living more than ten years continuously abroad, in the south, never leaving her couch.",1,Anna Karenina,1,0,0,0
"And some people said that Madame Stahl had made her social position as a philanthropic, highly religious woman; other people said she really was at heart the highly ethical being, living for nothing but the good of her fellow creatures, which she represented herself to be.",1,Anna Karenina,1,0,0,0
"No one knew what her faith was Catholic, Protestant, or Orthodox.",1,Anna Karenina,1,0,0,0
But one fact was indubitable she was in amicable relations with the highest dignitaries of all the churches and sects.,1,Anna Karenina,1,0,0,0
"Varenka lived with her all the while abroad, and everyone who knew Madame Stahl knew and liked Mademoiselle Varenka, as everyone called her.",1,Anna Karenina,1,0,0,0
"Having learned all these facts, the princess found nothing to object to in her daughter s intimacy with Varenka, more especially as Varenka s breeding and education were of the best she spoke French and English extremely well and what was of the most weight, brought a message from Madame Stahl expressing her regret that she was prevented by her ill health from making the acquaintance of the princess.",1,Anna Karenina,1,0,0,0
"After getting to know Varenka, Kitty became more and more fascinated by her friend, and every day she discovered new virtues in her.",1,Anna Karenina,1,0,0,0
"The princess, hearing that Varenka had a good voice, asked her to come and sing to them in the evening.",1,Anna Karenina,1,0,0,0
"Kitty plays, and we have a piano; not a good one, it s true, but you will give us so much pleasure, said the princess with her affected smile, which Kitty disliked particularly just then, because she noticed that Varenka had no inclination to sing.",1,Anna Karenina,1,0,0,0
"Varenka came, however, in the evening and brought a roll of music with her.",1,Anna Karenina,1,0,0,0
The princess had invited Marya Yevgenyevna and her daughter and the colonel.,1,Anna Karenina,1,0,0,0
"Varenka seemed quite unaffected by there being persons present she did not know, and she went directly to the piano.",1,Anna Karenina,1,0,0,0
"She could not accompany herself, but she could sing music at sight very well.",1,Anna Karenina,1,0,0,0
"Kitty, who played well, accompanied her.",1,Anna Karenina,1,0,0,0
"You have an extraordinary talent, the princess said to her after Varenka had sung the first song extremely well.",1,Anna Karenina,1,0,0,0
Marya Yevgenyevna and her daughter expressed their thanks and admiration.,1,Anna Karenina,1,0,0,0
"Look, said the colonel, looking out of the window, what an audience has collected to listen to you.",1,Anna Karenina,1,0,0,0
There actually was quite a considerable crowd under the windows.,1,Anna Karenina,1,0,0,0
"I am very glad it gives you pleasure, Varenka answered simply.",1,Anna Karenina,1,0,0,0
Kitty looked with pride at her friend.,1,Anna Karenina,1,0,1,0
"She was enchanted by her talent, and her voice, and her face, but most of all by her manner, by the way Varenka obviously thought nothing of her singing and was quite unmoved by their praises.",1,Anna Karenina,1,0,0,0
"She seemed only to be asking: Am I to sing again, or is that enough?",1,Anna Karenina,1,0,0,0
"If it had been I, thought Kitty, how proud I should have been!",1,Anna Karenina,1,0,1,0
How delighted I should have been to see that crowd under the windows!,1,Anna Karenina,1,0,0,0
But she s utterly unmoved by it.,1,Anna Karenina,1,0,0,0
Her only motive is to avoid refusing and to please mamma.,1,Anna Karenina,1,0,0,0
What is there in her?,1,Anna Karenina,1,0,0,0
"What is it gives her the power to look down on everything, to be calm independently of everything?",1,Anna Karenina,1,0,0,0
How I should like to know it and to learn it of her!,1,Anna Karenina,1,0,0,0
"thought Kitty, gazing into her serene face.",1,Anna Karenina,1,0,1,0
"The princess asked Varenka to sing again, and Varenka sang another song, also smoothly, distinctly, and well, standing erect at the piano and beating time on it with her thin, dark-skinned hand.",1,Anna Karenina,1,0,0,0
The next song in the book was an Italian one.,1,Anna Karenina,1,0,0,0
"Kitty played the opening bars, and looked round at Varenka.",1,Anna Karenina,1,0,0,0
"Let s skip that, said Varenka, flushing a little.",1,Anna Karenina,1,0,0,0
"Kitty let her eyes rest on Varenka s face, with a look of dismay and inquiry.",1,Anna Karenina,1,0,0,0
"Very well, the next one, she said hurriedly, turning over the pages, and at once feeling that there was something connected with the song.",1,Anna Karenina,1,0,0,0
"No, answered Varenka with a smile, laying her hand on the music, no, let s have that one.",1,Anna Karenina,1,0,0,0
"And she sang it just as quietly, as coolly, and as well as the others.",1,Anna Karenina,1,1,0,0
"When she had finished, they all thanked her again, and went off to tea.",1,Anna Karenina,1,0,0,0
Kitty and Varenka went out into the little garden that adjoined the house.,1,Anna Karenina,1,0,0,0
"Am I right, that you have some reminiscences connected with that song?",1,Anna Karenina,1,0,0,0
"Don t tell me, she added hastily, only say if I m right.",1,Anna Karenina,1,0,0,1
"No, why not?",1,Anna Karenina,1,0,1,1
"I ll tell you simply, said Varenka, and, without waiting for a reply, she went on: Yes, it brings up memories, once painful ones.",1,Anna Karenina,1,0,0,0
"I cared for someone once, and I used to sing him that song.",1,Anna Karenina,1,0,0,0
"Kitty with big, wide-open eyes gazed silently, sympathetically at Varenka.",1,Anna Karenina,1,0,0,0
"I cared for him, and he cared for me; but his mother did not wish it, and he married another girl.",1,Anna Karenina,1,0,0,0
"He s living now not far from us, and I see him sometimes.",1,Anna Karenina,1,0,0,0
"You didn t think I had a love story too, she said, and there was a faint gleam in her handsome face of that fire which Kitty felt must once have glowed all over her.",1,Anna Karenina,1,0,0,0
I didn t think so?,1,Anna Karenina,1,0,0,0
"Why, if I were a man, I could never care for anyone else after knowing you.",1,Anna Karenina,1,0,0,0
"Only I can t understand how he could, to please his mother, forget you and make you unhappy; he had no heart.",1,Anna Karenina,1,0,0,0
"Oh, no, he s a very good man, and I m not unhappy; quite the contrary, I m very happy.",1,Anna Karenina,1,0,0,1
"Well, so we shan t be singing any more now, she added, turning towards the house.",1,Anna Karenina,1,0,0,0
How good you are!,1,Anna Karenina,1,0,0,1
"cried Kitty, and stopping her, she kissed her.",1,Anna Karenina,1,0,0,0
If I could only be even a little like you!,1,Anna Karenina,1,0,0,1
Why should you be like anyone?,1,Anna Karenina,1,0,0,0
"You re nice as you are, said Varenka, smiling her gentle, weary smile.",1,Anna Karenina,1,0,0,0
"No, I m not nice at all.",1,Anna Karenina,1,0,0,0
"Come, tell me.... Stop a minute, let s sit down, said Kitty, making her sit down again beside her.",1,Anna Karenina,1,0,1,0
"Tell me, isn t it humiliating to think that a man has disdained your love, that he hasn t cared for it?...",1,Anna Karenina,1,0,0,0
"But he didn t disdain it; I believe he cared for me, but he was a dutiful son....",1,Anna Karenina,1,1,0,0
"Yes, but if it hadn t been on account of his mother, if it had been his own doing?...",1,Anna Karenina,1,0,0,0
"said Kitty, feeling she was giving away her secret, and that her face, burning with the flush of shame, had betrayed her already.",1,Anna Karenina,1,0,0,0
"In that case he would have done wrong, and I should not have regretted him, answered Varenka, evidently realizing that they were now talking not of her, but of Kitty.",1,Anna Karenina,1,0,0,0
"But the humiliation, said Kitty, the humiliation one can never forget, can never forget, she said, remembering her look at the last ball during the pause in the music.",1,Anna Karenina,1,0,0,0
Where is the humiliation?,1,Anna Karenina,1,0,0,0
"Why, you did nothing wrong?",1,Anna Karenina,1,0,0,0
Worse than wrong shameful.,1,Anna Karenina,1,0,0,1
Varenka shook her head and laid her hand on Kitty s hand.,1,Anna Karenina,1,0,0,0
"Why, what is there shameful?",1,Anna Karenina,1,0,0,1
"You didn t tell a man, who didn t care for you, that you loved him, did you?",1,Anna Karenina,1,0,0,0
"Of course not; I never said a word, but he knew it.",1,Anna Karenina,1,0,0,1
"No, no, there are looks, there are ways; I can t forget it, if I live a hundred years.",1,Anna Karenina,1,0,0,0
Why so?,1,Anna Karenina,1,0,1,1
I don t understand.,1,Anna Karenina,1,0,0,1
"The whole point is whether you love him now or not, said Varenka, who called everything by its name.",1,Anna Karenina,1,0,0,0
I hate him; I can t forgive myself.,1,Anna Karenina,1,0,0,1
"Why, what for?",1,Anna Karenina,1,0,1,1
"The shame, the humiliation!",1,Anna Karenina,1,0,0,1
if everyone were as sensitive as you are!,1,Anna Karenina,1,0,0,0
said Varenka.,1,Anna Karenina,1,0,0,0
There isn t a girl who hasn t been through the same.,1,Anna Karenina,1,0,0,0
And it s all so unimportant.,1,Anna Karenina,1,0,0,1
"Why, what is important?",1,Anna Karenina,1,0,0,1
"said Kitty, looking into her face with inquisitive wonder.",1,Anna Karenina,1,0,1,0
"Oh, there s so much that s important, said Varenka, smiling.",1,Anna Karenina,1,0,0,0
"Why, what?",1,Anna Karenina,1,0,1,1
"Oh, so much that s more important, answered Varenka, not knowing what to say.",1,Anna Karenina,1,0,0,0
But at that instant they heard the princess s voice from the window.,1,Anna Karenina,1,0,0,0
"Kitty, it s cold!",1,Anna Karenina,1,0,0,0
"Either get a shawl, or come indoors.",1,Anna Karenina,1,0,0,0
It really is time to go in!,1,Anna Karenina,1,0,0,0
"said Varenka, getting up.",1,Anna Karenina,1,0,0,0
I have to go on to Madame Berthe s; she asked me to.,1,Anna Karenina,1,0,0,0
"Kitty held her by the hand, and with passionate curiosity and entreaty her eyes asked her: What is it, what is this of such importance that gives you such tranquillity?",1,Anna Karenina,1,0,0,0
"You know, tell me!",1,Anna Karenina,1,0,1,1
But Varenka did not even know what Kitty s eyes were asking her.,1,Anna Karenina,1,0,0,0
"She merely thought that she had to go to see Madame Berthe too that evening, and to make haste home in time for _maman s_ tea at twelve o clock.",1,Anna Karenina,1,0,0,0
